cid,PC1,PC2
7889-Primary solid Tumor,-7.1943703,-14.173065
7890-Primary solid Tumor,-32.628536,-21.851038
7891-Primary solid Tumor,-51.789978,-16.838814
7893-Primary solid Tumor,-31.576225,-45.004383
7897-Primary solid Tumor,-99.025185,15.546456
8126-Primary solid Tumor,-62.275066,11.717187
8127-Primary solid Tumor,-5.962683,-31.419811
a5so-Primary solid Tumor,-28.852137,-17.660883
a5sp-Primary solid Tumor,55.115444,3.6680489
a5sq-Primary solid Tumor,-36.367195,5.590669
a5ss-Primary solid Tumor,3.6453447,-35.570816
a5st-Primary solid Tumor,-37.54335,-21.369556
a6uf-Primary solid Tumor,35.07598,-6.34165
a6ug-Primary solid Tumor,12.401801,6.7470913
a7lx-Primary solid Tumor,42.391403,-17.389849
a7m4-Primary solid Tumor,41.677296,-15.370909
aaum-Primary solid Tumor,-23.971733,23.358006
aaun-Primary solid Tumor,12.097274,-15.721261
aauo-Primary solid Tumor,44.963715,-16.748821
aaup-Primary solid Tumor,-46.953503,-20.268581
aauq-Primary solid Tumor,-7.522323,-0.2852891
aaur-Primary solid Tumor,-54.645042,-7.984828
aaus-Primary solid Tumor,-44.957577,-26.868362
aaut-Primary solid Tumor,-38.45637,3.78454
aauu-Primary solid Tumor,23.340067,-19.730045
aauv-Primary solid Tumor,-80.905235,5.7584305
aauw-Primary solid Tumor,-42.63861,12.915128
a7w4-Primary solid Tumor,36.658234,-4.7615886
a7sx-Primary solid Tumor,42.381805,-0.5313506
a8f3-Primary solid Tumor,45.939552,25.687075
a9q5-Primary solid Tumor,-15.132256,-0.39163014
a5n4-Primary solid Tumor,30.074299,-38.775642
a75w-Primary solid Tumor,66.53514,-8.463413
a5re-Primary solid Tumor,33.921623,-26.344074
a5qy-Primary solid Tumor,-35.543247,-14.285119
aa2a-Primary solid Tumor,46.333797,-15.125326
a7b8-Primary solid Tumor,1.7189095,-17.584269
aa9m-Primary solid Tumor,-17.314125,8.684617
aaas-Primary solid Tumor,-31.414473,0.74085087
a8rm-Primary solid Tumor,39.908173,-11.223367
a8ro-Primary solid Tumor,33.982544,-8.724472
a8rp-Primary solid Tumor,-4.9223776,-2.7280786
a774-Primary solid Tumor,-19.975805,-18.380354
a776-Primary solid Tumor,100.95328,41.71888
a779-Primary solid Tumor,72.33757,18.4343
a77e-Primary solid Tumor,25.733265,-13.757216
a77g-Primary solid Tumor,65.8135,1.1233989
a77j-Primary solid Tumor,-37.945377,7.0636945
aaug-Primary solid Tumor,-62.69277,15.9189
aauh-Primary solid Tumor,-59.995014,29.323711
aaui-Primary solid Tumor,-8.15869,-7.9671903
aaul-Primary solid Tumor,5.5720277,-22.224167
a8t3-Primary solid Tumor,-15.865197,-2.6847181
a8t5-Primary solid Tumor,-47.465355,0.990062
a89d-Solid Tissue Normal,-34.85165,-25.21438
a89d-Primary solid Tumor,-14.902244,-15.043419
a8sy-Primary solid Tumor,24.656076,-32.87674
a8lh-Primary solid Tumor,85.17734,1.4232936
aapl-Primary solid Tumor,-27.214409,-12.126054
